               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.030539,            0.013839,           0.0076916,              0.9036,             0.87232,             0.90812,              0.6204,            0.030862,           0.0092678,            0.010914,            0.007954,            0.007954,            0.007954
                 126,            0.030633,            0.013898,           0.0081779,             0.89493,              0.9184,             0.92675,             0.61915,            0.030907,           0.0093222,           0.0095029,           0.0079375,           0.0079375,           0.0079375
                 127,            0.030652,            0.013726,           0.0079946,             0.91463,             0.88998,             0.92038,             0.62009,            0.031109,           0.0093409,            0.010391,            0.007921,            0.007921,            0.007921
                 128,            0.030113,            0.013496,           0.0077596,             0.92065,             0.90416,              0.9269,             0.62629,            0.030829,           0.0092475,           0.0099907,           0.0079045,           0.0079045,           0.0079045
                 129,            0.030542,            0.013278,           0.0075661,             0.91102,             0.90426,             0.92305,             0.61471,            0.031025,           0.0092446,           0.0093776,            0.007888,            0.007888,            0.007888
                 130,            0.030215,              0.0136,           0.0076865,             0.90457,             0.90902,             0.92823,             0.62177,            0.030571,           0.0091356,           0.0096681,           0.0078715,           0.0078715,           0.0078715
                 131,            0.030405,            0.013845,           0.0079898,             0.90893,             0.90086,             0.91568,              0.6146,            0.031055,           0.0092758,            0.010812,            0.007855,            0.007855,            0.007855
                 132,            0.030546,            0.013523,           0.0079649,             0.89691,             0.89486,             0.91244,             0.61843,            0.030627,           0.0091928,            0.010607,           0.0078385,           0.0078385,           0.0078385
                 133,            0.030344,            0.013658,           0.0078161,             0.89953,             0.90163,             0.92014,             0.61749,            0.030509,           0.0092373,             0.01059,            0.007822,            0.007822,            0.007822
                 134,            0.030119,            0.013701,           0.0075527,              0.9084,             0.89658,             0.91698,             0.62209,            0.030707,           0.0091747,            0.010737,           0.0078055,           0.0078055,           0.0078055
                 135,            0.030002,            0.013468,           0.0076041,             0.90678,             0.89337,             0.90926,             0.61387,            0.030931,            0.009353,             0.01109,            0.007789,            0.007789,            0.007789
                 136,             0.03003,            0.013568,           0.0077745,             0.91882,             0.88495,             0.91237,             0.61075,            0.031466,           0.0093854,            0.011383,           0.0077725,           0.0077725,           0.0077725
                 137,            0.030047,            0.013298,           0.0073971,             0.90052,             0.89567,             0.91327,             0.61955,            0.030632,           0.0091756,            0.010818,            0.007756,            0.007756,            0.007756
                 138,            0.030141,            0.013392,            0.007525,             0.92402,             0.88448,             0.90859,             0.61976,            0.030436,            0.009244,            0.010562,           0.0077395,           0.0077395,           0.0077395
                 139,            0.029788,            0.013819,           0.0071413,             0.91455,             0.89542,               0.919,             0.61854,            0.030706,           0.0091988,             0.01023,            0.007723,            0.007723,            0.007723
                 140,            0.030195,            0.013443,           0.0076798,             0.91049,             0.90891,             0.92422,             0.62896,            0.030829,           0.0092875,            0.010218,           0.0077065,           0.0077065,           0.0077065
                 141,            0.030325,            0.013932,           0.0076009,             0.90185,             0.90967,             0.92318,              0.6242,              0.0305,            0.009347,            0.010281,             0.00769,             0.00769,             0.00769
                 142,             0.03068,            0.013479,           0.0079831,             0.89777,             0.88914,             0.90985,             0.62246,            0.030543,           0.0092602,            0.010991,           0.0076735,           0.0076735,           0.0076735
                 143,            0.029959,            0.013611,           0.0082947,             0.90219,             0.90725,             0.91684,              0.6097,            0.031099,           0.0092243,             0.01025,            0.007657,            0.007657,            0.007657
                 144,            0.029856,            0.013546,           0.0077472,             0.91424,              0.8958,             0.91667,             0.61701,            0.030904,           0.0094023,            0.010789,           0.0076405,           0.0076405,           0.0076405
